
-- test_adjacency_recursive p#642 i=5
         452253 function calls (445756 primitive calls) in 0.438 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      861    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
       69    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
     1925    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      239    0.000    0.000    0.003    0.000 rcsetup.py:353(validate_color_for_prop_cycle)
     1884    0.000    0.000    0.000    0.000 inspect.py:2551(kind)
      347    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      316    0.000    0.000    0.000    0.000 overrides.py:124(array_function_dispatch)
      164    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      808    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      584    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:283(__init__)
        1    0.000    0.000    0.007    0.007 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _axes.py:71(Axes)
      757    0.000    0.000    0.000    0.000 __init__.py:907(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:917(<dictcomp>)
      861    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      328    0.000    0.000    0.001    0.000 {built-in method builtins.all}
      376    0.000    0.000    0.036    0.000 __init__.py:686(__getitem__)
        1    0.000    0.000    0.007    0.007 defchararray.py:1(<module>)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
        6    0.000    0.000    0.000    0.000 numeric.py:2446(extend_all)
        1    0.000    0.000    0.012    0.012 mathtext.py:1(<module>)
        1    0.000    0.000    0.003    0.003 numerictypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:482(__exit__)
      662    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.001    0.001 tokenize.py:1(<module>)
      279    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
        1    0.000    0.000    0.041    0.041 rcsetup.py:1(<module>)
      164    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      315    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      136    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       33    0.000    0.000    0.001    0.000 __init__.py:1280(getLogger)
       28    0.000    0.000    0.000    0.000 inspect.py:3057(__str__)
      384    0.000    0.000    0.000    0.000 function_base.py:244(iterable)
        1    0.000    0.000    0.009    0.009 pyparsing.py:26(<module>)
       31    0.000    0.000    0.001    0.000 _base.py:56(__set_name__)
        1    0.000    0.000    0.004    0.004 mathtext.py:2845(<listcomp>)
      450    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       60    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      966    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       64    0.000    0.000    0.003    0.000 rcsetup.py:106(<listcomp>)
    63/11    0.000    0.000    0.002    0.000 pyparsing.py:2358(parseImpl)
        1    0.000    0.000    0.022    0.022 multiarray.py:1(<module>)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
       15    0.000    0.000    0.003    0.000 enum.py:430(_create_)
       42    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       53    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       65    0.000    0.000    0.000    0.000 copy.py:66(copy)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:1(<module>)
      315    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      299    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       84    0.000    0.000    0.001    0.000 deprecation.py:222(finalize)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
      338    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
      135    0.000    0.000    0.000    0.000 pyplot.py:1884(<genexpr>)
      176    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
        1    0.000    0.000    0.006    0.006 cm.py:53(_gen_cmap_registry)
        1    0.000    0.000    0.012    0.012 core.py:196(read_style_directory)
      190    0.000    0.000    0.000    0.000 pyplot.py:82(_copy_docstring_and_deprecators)
        1    0.000    0.000    0.000    0.000 pathlib.py:556(_RecursiveWildcardSelector)
     1205    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       73    0.000    0.000    0.000    0.000 rcsetup.py:90(<listcomp>)
       33    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
      166    0.000    0.000    0.000    0.000 colors.py:521(__init__)
      432    0.000    0.000    0.000    0.000 colors.py:224(<genexpr>)
      272    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
        1    0.000    0.000    0.001    0.001 dviread.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _color_data.py:995(<dictcomp>)
       83    0.000    0.000    0.000    0.000 sre_parse.py:861(_parse_flags)
     1790    0.000    0.000    0.000    0.000 __init__.py:785(<lambda>)
      328    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      226    0.000    0.000    0.000    0.000 rcsetup.py:150(validate_bool)
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
      345    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       31    0.000    0.000    0.000    0.000 pathlib.py:63(parse_parts)
       63    0.000    0.000    0.000    0.000 colors.py:848(<dictcomp>)
      125    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       81    0.000    0.000    0.005    0.000 docstring.py:77(dedent_interpd)
       34    0.000    0.000    0.000    0.000 inspect.py:1812(_signature_bound_method)
       35    0.000    0.000    0.000    0.000 transforms.py:1251(__init_subclass__)
        1    0.000    0.000    0.000    0.000 core.py:2708(MaskedArray)
      718    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
     72/4    0.000    0.000    0.001    0.000 pyparsing.py:1037(_parseCache)
      164    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       40    0.000    0.000    0.000    0.000 colors.py:889(__init__)
       30    0.000    0.000    0.001    0.000 _collections_abc.py:824(update)
      263    0.000    0.000    0.000    0.000 pyparsing.py:274(__new__)
       49    0.000    0.000    0.000    0.000 pathlib.py:717(__str__)
       99    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.006    0.006 linalg.py:1(<module>)
       55    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
      183    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       98    0.000    0.000    0.001    0.000 inspect.py:2865(replace)
       40    0.000    0.000    0.000    0.000 rcsetup.py:63(<dictcomp>)
      100    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       27    0.000    0.000    0.000    0.000 pathlib.py:531(_select_from)
       33    0.000    0.000    0.000    0.000 __init__.py:1331(_fixupParents)
       52    0.000    0.000    0.000    0.000 core.py:895(__init__)
       34    0.000    0.000    0.000    0.000 __init__.py:1400(__init__)
      207    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      183    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
      825    0.000    0.000    0.000    0.000 inspect.py:2857(parameters)
        1    0.000    0.000    0.000    0.000 patches.py:19(Patch)
       17    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
      413    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       39    0.000    0.000    0.000    0.000 deprecation.py:192(_deprecated_property)
    31/30    0.000    0.000    0.042    0.001 <frozen importlib._bootstrap_external>:1099(create_module)
        2    0.000    0.000    0.010    0.005 shape_base.py:1(<module>)
      162    0.000    0.000    0.002    0.000 sre_parse.py:96(closegroup)
      480    0.000    0.000    0.000    0.000 artist.py:1371(<genexpr>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:114(_add_aliases)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6709(add_newdoc_for_scalar_type)
       23    0.000    0.000    0.003    0.000 overrides.py:206(decorator)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
       64    0.000    0.000    0.000    0.000 inspect.py:2573(__str__)
        1    0.000    0.000    0.015    0.015 index_tricks.py:1(<module>)
