         26965268 function calls (26600257 primitive calls) in 56.897 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7440    0.018    0.000    0.157    0.000 lines.py:730(_transform_path)
        1    0.000    0.000    0.156    0.156 __init__.py:106(<module>)
      240    0.002    0.000    0.156    0.001 axis.py:1281(_copy_tick_props)
      696    0.006    0.000    0.153    0.000 axis.py:516(_get_text1)
    54035    0.061    0.000    0.152    0.000 __init__.py:1437(is_interactive)
    36288    0.044    0.000    0.151    0.000 cbook.py:2698(_putmask)
    27216    0.095    0.000    0.148    0.000 _base.py:3093(get_ylim)
     1890    0.025    0.000    0.147    0.000 path.py:978(get_path_collection_extents)
    18522    0.027    0.000    0.142    0.000 cbook.py:2554(safe_first_element)
        1    0.000    0.000    0.139    0.139 __init__.py:101(<module>)
    94782    0.094    0.000    0.138    0.000 six.py:580(iteritems)
     5400    0.043    0.000    0.137    0.000 collections.py:240(_prepare_points)
     1890    0.010    0.000    0.137    0.000 _base.py:1949(update_datalim)
   154962    0.071    0.000    0.137    0.000 core.py:6192(isMaskedArray)
    33305    0.036    0.000    0.136    0.000 re.py:153(match)
    30020    0.023    0.000    0.135    0.000 transforms.py:2626(get_matrix)
    72576    0.089    0.000    0.134    0.000 numeric.py:2135(isscalar)
    17340    0.041    0.000    0.134    0.000 shape_base.py:11(atleast_1d)
    96236    0.105    0.000    0.131    0.000 _weakrefset.py:20(__enter__)
      720    0.005    0.000    0.130    0.000 lines.py:1310(update_from)
   110699    0.062    0.000    0.130    0.000 {method 'extend' of 'list' objects}
   144119    0.130    0.000    0.130    0.000 {built-in method __new__ of type object at 0x0000000067FD1E30}
     9072    0.029    0.000    0.129    0.000 transforms.py:898(update_from_path)
   342000    0.129    0.000    0.129    0.000 ParkingSimulation.py:71(is_empty)
     7440    0.021    0.000    0.127    0.000 transforms.py:2685(__init__)
     8400    0.061    0.000    0.126    0.000 path.py:172(_fast_from_codes_and_verts)
      696    0.005    0.000    0.126    0.000 axis.py:398(_get_text2)
     2991    0.023    0.000    0.126    0.000 text.py:189(__init__)
       60    0.001    0.000    0.125    0.002 axis.py:2017(get_tick_space)
     2825    0.010    0.000    0.124    0.000 transforms.py:2648(__init__)
   183198    0.123    0.000    0.123    0.000 {built-in method abs}
        1    0.000    0.000    0.122    0.122 add_newdocs.py:10(<module>)
